english;french
1 per Henry;1 par Henry
1 per metre;1 par mètre
1 per second;1 par seconde
100 mm turret and target location;Tourelle de 100 mm et localisation d
115 V 60 Hz emergency power supply;Réseau de secours 115V - 60 Hz
115 V / 400 Hz single-phase power su;Réseau 115/400 Hz triphasé
12-points;Bihexagonal
20 mm guns;Artillerie 20mm
220 V 60 Hz domestic power supply;Réseau électro-domestique 220V/60Hz
30-slot 1/2 ATR crate;Bac 1/2 ATR 30 pas
3D hawse model;Maquette 3D d'écubier
3-D modelling graphics;Représentation graphique volumique
400 Hz power supply;Réseau 400 Hz
440 V and 115 V / 60 Hz power distri;Distribution 440 et 115 V / 60 Hz
440 V / 400 Hz three-phase power sup;Réseau 440/400 Hz triphasé
440v/60hz supply: power generation ;Réseau de 440v-60hz: production d'élect
60 Hz power distribution;Réseau 60 Hz - Alternateurs
A bears 220° from B;A est dans le 220 de B
A frame;Chèvre
A is at the centre of the screen;A est au centre de l'écran
A is heading north;A fait route au Nord
A is on D's starboard beam;A est par le travers tribord de D
A is on a true heading of 000°;Le cap vrai de A est 000°
A is own ship;A est le navire porteur
A is the ship's bow;A est l'étrave du navire
AA is own ship;AA est le navire porteur
AC ON (US);Secteur
AC drilling motor;Moteur de forage à courant alternati
AC power pack;Bloc redresseur d'alimentation
AC variable frequency transformer;Transformateur de fréquence variable
ADAWS new generation ( ADIMP );ADAWS nouvelle génération
ADLIF-type orthophosphoric nerve gas;Appareil de détection locale d'insta
AF (audio frequency);BF
AFC unit;Bande CAF
AFT column pedestal;Colonne support AR
AFT column transverse section FR 54;Coupe transversale à la colonne AR a
AFT view vertical storage;Vue AR du stockage des tiges de fora
ARABEL ASTER system (protective measure);Système ARABEL ASTER (mesures conservatrice)
ATAS V1 (protective measures);ATAS V1 (mesures conservatoires)
Abaft the bridge;Sur l'AR de la passerelle
Abaft/astern of;En Arrière
Abandon ship stations;Postes d'abandon
Abandonment;Abandon
Abeam;Par le travers
Abeam;Travers
Abeam method (the);Ravitaillement à couple
Abeam /alongside replenishment;Ravitaillement à couple
Aberration chromatic;Aberration chromatique
Ability;Capacité / savoir-faire
Ability;Capacité/savoir-faire
Ability to withstand a load of xxx D;Bonne tenue sous xxx DaN
Able Seaman;Matelot breveté
Abnormality;Anomalie
Above decks aerial equipment;Coffret eqpmt antenne sur ponts déco
Above water;Emergé
Above water warfare surveillance;Surveillance au-dessus de la surface
Above-water projected area;Surface projetée des oeuvres mortes
Above-water viewing;Observation en surface
